Step,Time,Mean_Male_Trait_1,Mean_Male_Trait_2,Mean_Male_Trait_3,Mean_Female_Trait_1,Mean_Female_Trait_2,Mean_Female_Trait_3,Var_Male_Trait_1,Var_Male_Trait_2,Var_Male_Trait_3,Var_Female_Trait_1,Var_Female_Trait_2,Var_Female_Trait_3,Mean_Female_Pref_1,Mean_Female_Pref_2,Mean_Female_Pref_3,Trait_Pref_Gap_1,Trait_Pref_Gap_2,Trait_Pref_Gap_3,Male_Count,Female_Count,Mean_Male_Energy,Mean_Female_Energy,Avg_Age,Population_Count,Total_Food
22,22.0,0.48795555555555553,0.503,0.4736,0.4647349397590361,0.42716867469879527,0.44721686746987954,0.0461732424691358,0.05033197777777778,0.04967446222222222,0.04281123094788794,0.05635642938017129,0.05049477224560892,0.44609638554216874,0.4051084337349397,0.5297349397590363,0.04185917001338679,0.09789156626506029,0.05613493975903627,90,83,0.7364278599469268,0.6904819277108433,61.98843930635838,173,126
23,23.0,0.4922947368421052,0.48975789473684206,0.4668526315789474,0.46706896551724136,0.4193793103448276,0.4547701149425288,0.04645563944598338,0.05431310980609419,0.04881069407202216,0.04067502972651605,0.05651526991676574,0.05251865979653851,0.44580459770114944,0.3935632183908046,0.537712643678161,0.04649013914095573,0.09619467634603746,0.07086001209921355,95,87,0.7371603261719983,0.6667816091954021,62.57142857142857,182,124
24,24.0,0.498061224489796,0.4881530612244897,0.47478571428571426,0.4651458333333333,0.42409375,0.46216666666666667,0.04587777176176594,0.054055701062057475,0.049413535714285715,0.040866728732638885,0.05932837662760417,0.05230422222222222,0.44683333333333336,0.3940729166666667,0.54859375,0.051227891156462646,0.09408014455782299,0.07380803571428574,98,96,0.7157637305215448,0.6801041666666666,62.45360824742268,194,115
25,25.0,0.4969029126213593,0.4808058252427185,0.4700679611650485,0.4719509803921568,0.41839215686274506,0.46930392156862744,0.04569550513714769,0.054364797247619945,0.05106590800263928,0.03974447798923491,0.0608501599384852,0.050872289984621295,0.46006862745098037,0.39466666666666667,0.5532843137254901,0.036834285170378955,0.08613915857605181,0.08321635256044163,103,102,0.7104856682212382,0.6712745098039211,61.65853658536585,205,108
26,26.0,0.4933796296296296,0.4869166666666667,0.48021296296296295,0.4666448598130842,0.4161401869158878,0.4665607476635514,0.04624719847393689,0.0551559837962963,0.05013748242455418,0.03993035985675605,0.059736569132675346,0.050000489300375574,0.45829906542056076,0.39085046728971967,0.5464859813084112,0.035080564209068854,0.09606619937694705,0.06627301834544824,108,107,0.7018948382161435,0.674579439252336,61.646511627906975,215,101
27,27.0,0.49588990825688073,0.4845688073394495,0.4844036697247706,0.4633035714285714,0.40983035714285715,0.46637500000000004,0.04536806127430351,0.05597525443986196,0.050180497601212015,0.0390522649872449,0.05886692657844388,0.05040743080357143,0.44801785714285713,0.3806339285714286,0.5432142857142858,0.047872051114023595,0.10393487876802093,0.05881061598951515,109,112,0.68218251703828,0.6722321428571425,62.2579185520362,221,101
28,28.0,0.49250442477876105,0.47908849557522126,0.4838407079646017,0.46457377049180326,0.4014344262295082,0.4640327868852459,0.044360816352102754,0.05436365588534732,0.050858629493304094,0.03826973636119323,0.058587950618113414,0.048238408761085726,0.4471311475409836,0.3680901639344263,0.5439836065573772,0.045373277237777454,0.11099833164079498,0.060142898592775496,113,122,0.6984726122410593,0.6438524590163931,62.18723404255319,235,93
29,29.0,0.494656,0.474112,0.487328,0.4713111111111112,0.39484444444444444,0.45983703703703704,0.043052561664000004,0.051845715456,0.048586604416000004,0.037811962469135804,0.055721894320987654,0.046477128998628256,0.4522592592592592,0.3583851851851852,0.5396296296296297,0.04239674074074079,0.11572681481481478,0.0523016296296297,125,135,0.6744316317154733,0.5863703703703703,62.12307692307692,260,93
30,30.0,0.4967575757575758,0.46770454545454543,0.48093181818181824,0.4754236111111112,0.3891666666666666,0.46430555555555547,0.04359142607897153,0.05229337482782369,0.04803497262396694,0.0368775497202932,0.054019194444444446,0.04580701774691358,0.44981249999999995,0.34782638888888884,0.5392430555555556,0.04694507575757584,0.11987815656565659,0.05831123737373739,132,144,0.6454315761928002,0.5736805555555554,62.007246376811594,276,89
31,31.0,0.4996666666666666,0.4602971014492753,0.4777101449275363,0.47245512820512825,0.3878525641025641,0.46780128205128196,0.04251228019323671,0.053462034919134635,0.04686477105650073,0.03659208131985536,0.05414792057034845,0.04522022333168967,0.4539871794871795,0.3429102564102564,0.5472115384615385,0.04567948717948711,0.11738684503901892,0.0695013935340022,138,156,0.6381747543533448,0.5668589743589743,62.39115646258504,294,78
32,32.0,0.4997862068965517,0.45720689655172414,0.47663448275862064,0.47814465408805035,0.3893584905660377,0.47338364779874215,0.04155845774078479,0.05288296409036861,0.04637099053507729,0.036710199200980974,0.05324611676753293,0.04537709180807722,0.4524842767295597,0.3433396226415094,0.5574716981132076,0.04730193016699197,0.11386727391021473,0.08083721535458699,145,159,0.6286750555906392,0.5442767295597484,62.25,304,72
33,33.0,0.4969032258064517,0.4552903225806451,0.4673096774193548,0.47816265060240953,0.3902349397590361,0.47946385542168674,0.03998629386056192,0.049601599583766906,0.0443182137773153,0.03507991932791407,0.05407498697198432,0.04498680291043693,0.45065662650602406,0.34470481927710844,0.5634578313253013,0.04624659930042763,0.11058550330353667,0.09614815390594644,155,166,0.611029771432717,0.5396987951807227,62.31152647975078,321,62
34,34.0,0.49553164556962015,0.4524683544303798,0.46613924050632904,0.4791520467836257,0.395280701754386,0.4791461988304093,0.039767021150456654,0.0493724008972921,0.04407284137157507,0.03457583653089839,0.05446759372114497,0.045875048801340586,0.4488713450292397,0.3496023391812865,0.5615438596491228,0.04666030054038045,0.10286601524909328,0.09540461914279375,158,171,0.5875927170147311,0.5474853801169589,62.5531914893617,329,55
35,35.0,0.4943253012048192,0.4500301204819278,0.46440963855421696,0.4841751412429379,0.3917175141242938,0.47949152542372886,0.03834207490201771,0.04965896897227464,0.04539095267818261,0.035003850681477225,0.05473202189664528,0.04524148156659963,0.45470056497175143,0.3461694915254237,0.5576384180790961,0.03962473623306778,0.10386062895650411,0.09322877952487912,166,177,0.579194089938835,0.5525423728813557,62.606413994169095,343,42
36,36.0,0.48976363636363635,0.4528666666666666,0.46478181818181813,0.48410326086956523,0.39156521739130434,0.4801195652173913,0.036885041101928376,0.0494759701010101,0.045954546336088156,0.0347023534676276,0.05564756096408318,0.04463448570415878,0.4602989130434782,0.3459402173913043,0.554125,0.029464723320158148,0.10692644927536227,0.08934318181818185,165,184,0.5757376570916952,0.554782608695652,62.97994269340974,349,32
37,37.0,0.48704678362573095,0.4532690058479532,0.472187134502924,0.48440526315789467,0.39243157894736846,0.4818,0.03572422003351459,0.04766609137854382,0.04605704100406963,0.03393875681440443,0.05737078216066482,0.04384324421052632,0.4619157894736843,0.34560526315789475,0.5573368421052632,0.02513099415204667,0.10766374269005846,0.08514970760233925,171,190,0.5539152919825198,0.5464210526315788,63.65373961218837,361,24
